,Company Name,Company Description,Company Address,Company Website,Company tel Number,Company Emails,Company linkedIn,Comapany Country name
25,Avetics Global Pte Ltd,"Avetics Global is a robotics solutions company based in Singapore serving Southeast Asia. We provide end-to-end digital and robotic services to industrial clients. We seek to digitalise some aspects of the maritime industry, improving efficiency and safety. We create a digital twin of vessels which enhances the visualization of a vessel environment, enables safety training, simulation, and project planning. Combined with Chasing Underwater ROV and our collision resistant drone, inspections of ship hulls and indoor spaces like ballast tanks can be done more efficient, cost-effective, and safer",Stand: E-N20,https://www.avetics.com/,(+65) 9632 4034,mailto:team@avetics.com,https://www.linkedin.com/company/avetics-global,Singapore
26,AVS Kuresel Gemi Tedarigi Ve Yonetimi A.S.,AVS Global Ship Supply serve all the ports around the world even challenging areas like South America and Africa where the headache for ship owners and managements. Catering/Victualling Service provider to merchant and offshore vessels all over the world.,No data,https://www.avsglobalsupply.com/,(+90) 530 280 1682,mailto:sezer.akcayir@avsglobalsupply.com,https://tr.linkedin.com/company/avsglobalsupply,Turkey
27,Azcue Pumps,"- Azcue Pumps was founded in 1910. - Manufacturer of pumps specialised in the marine and offshore market with large range of pumps to fulfill all pumping needs. - We have our own foundry since 1940, exclusively used for own manufacturing requirements, which give the company the flexibility to supply the orders with good delivery times and attractive quality/ price ration. - The quality system is according to ISO 9001 and certified by Lloyds Register of Shipping/ Lrqs. - The service of Azcue Pumps is supported by a network of 90 distributors worldwide with 24 hours service and stock of spares.",Stand: F-G26,http://www.azcuepumps.es/,+34 943 14 70 47,mailto:comercial@azcuepumps.es,No Data,"Apartado de Correos, 34 20750 – Zumaia, (Guipuzcoa)"
28,Bachmann Electronic GmbH,"Bachmann electronic is a global high-tech company with headquarters in Feldkirch, Austria, committed to delivering high quality, comprehensive automation hardware to professionals for 50 years. Customers in the wind energy, renewable energy, maritime and industrial automation industries rec-ognize our highly robust, open and trusted hardware. Bachmann reliably optimizes the operation and health of just one machine or an entire fleet. By using one integrated and certified system; profit, performance and safety increases significantly.",Stand: E-J35,https://www.bachmann.info/,(+43) 55223497 0,mailto:info@bachmann.info,https://www.linkedin.com/company/bachmann-electronic-gmbh/mycompany/,Netherlands
29,BAUDOUIN,No Data,Stand: F-F02A,No Data,No data,No Data,No Data,Singapore
30,Beijing Highlander Digital Technology Co Ltd,No Data,Stand: D-S31,No Data,No data,No Data,No Data,China
31,BIO-UV / BIO-SEA,No Data,Stand: E-K12,No Data,No data,No Data,No Data,France
32,Boat Lift s.r.l.,"Boat Lift is the results of a decennary technical and commercial experience in the field of lifting and handling system, with a particular focus to the exigencies of all operators from nautical and marine industry. Our corporate philosophy is to evaluate the needs of the customers in order to satisfy their requests during the project and production of our machines. Only this modern and future-oriented imprint, with new materials, machinery and advanced technologies allow to realize a product of undisputed quality.",Stand: E-L51,https://www.boatlift.it/en/home,(+39) 3484953597,mailto:mattia.bosio@boatlift.it,https://www.linkedin.com/company/boat-lift/,Italy
33,"BOMYUNG METAL CO., LTD","Bomyung has profound relationships established as a manufacturer of pipes, fittings, and flanges for over 20 years. Since it's established in 1994, the company has been doing its best for customer satisfaction and value creation. Also, it has continuously improved products in terms of competitive price and quality. Bomyung takes a role in international industrial developments as well as improving the quality of life by upgrading products standards and enhancing the environment to protect nature and provide safety.",Stand: F-G30,https://www.bmmetal.co.kr/,821047469080,mailto:inter@bmmetal.co.kr,No Data,Korea
34,Bosch,No Data,Stand: E-L08,No Data,No data,No Data,No Data,Singapore
35,BUTTERWORTH,No Data,Stand: E-K12,No Data,No data,No Data,No Data,United States
36,CAN TRADER & SERVICES PTE LTD,"Since 1981, Can Trader & Services Pte Ltd has been actively involved in the sales and services of major global marine communication & navigation equipment. Since its inception in 1981, Can Trader & Services has grown into a leading marine electronics company in Southeast Asia. We specialize in the best of breed marine communication and navigation systems and equipment, including Satellite Broadband, Satellite TV Antennae, Fleet Tracking and CCTV Systems.",Stand: D-S02,https://www.cantrade.com.sg/,(+65) 88239898,mailto:julia@cantrade.com.sg,No Data,Singapore
37,CANSCAN SOFTWARE AND TECHNOLOGIES INC.,No Data,Stand: E-L08,No Data,No data,No Data,No Data,Canada
38,CBG Systems/Moonraker,No Data,Stand: F-G02,No Data,No data,No Data,No Data,Australia
39,Cee-Bee Maritime / Merchints Cleaning & Services BV,Specialist in descaling vacuum toilet systems and heat exchangers .,Stand: E-J27,https://ceebeemaritime.com/,(+31) 612967404,mailto:gert@merchints.nl,No Data,Netherlands
40,Cengar,No Data,Stand: E-P07,No Data,No data,No Data,No Data,United Kingdom
41,Centa Transmissions Far East Pte Ltd,No Data,Stand: F-D25,https://www.centafareast.com.sg/,(+65) 63162508,mailto:Juliette.Lim@regalrexnord.com,No Data,Singapore
42,Chase Resource Management Pte. Ltd,Chase Resource was founded in 2006 to begin with initially in Singapore and then Houston to mainly supply drilling related equipment’s and consumables to Contractors well placed in ASEAN – to – Middle East region. Through all these years the Company has been associated with all major Contractors and Original Equipment Manufacturers (OEMs) of repute by providing round-the-clock service & support during times of extreme urgency. The recent inclusion of an office in Jebel Ali complete the Company’s presence in the key considered Oil & Gas hubs and well placed to develop the business into now the,Stand: D-R30,https://www.chaseresource.com/,(+65) 63245031,mailto:jay@chaseresource.com,https://www.linkedin.com/company/chase-resource-management-pte-ltd./about/,Singapore
43,Chord X,Chord X is a data analytics company that provide solutions towards ESG regulatory compliance & machine efficiency. Chord X provides ready solutions ecoMax and optiMax to allow shipowners and managers to better track their real-time consumption and environmental impacts both onboard and onshore. 𝗲𝗰𝗼𝗠𝗮𝘅 𝗽𝗿𝗼𝘃𝗶𝗱𝗲𝘀 𝘁𝗵𝗲 𝗽𝗼𝘀𝘀𝗶𝗯𝗶𝗹𝗶𝘁𝘆 𝘁𝗼 𝗯𝗲𝘁𝘁𝗲𝗿 𝘂𝗻𝗱𝗲𝗿𝘀𝘁𝗮𝗻𝗱 the 𝗘𝗦𝗚 𝗶𝗺𝗽𝗮𝗰𝘁. optiMax – provides a powercard to help users to co-solution between shore and ship engine combustion efficiency - a key efficiency parameter.,Stand: E-L38,https://www.chordx.co/,+65 6721 3022,mailto:futurewith@chordx.co,No Data,Singapore
44,CIMOLAI TECHNOLOGY SpA,"""Cimolai Technology Spa is specialized in the supply of lifting and transportation equipment. The company produces mobile boat hoists ranging from 30t to 2000 t, ship lifting platforms “CIMOLIFT” to launch and dry-dock huge vessels and special cranes to move, lift and turn ship blocks. The wide range of Cimolai Technology Spa’s products includes also self-propelled modular trailers SPMT and transfer systems to support the “CIMOLIFT” or used independently to perform the transportation and parking operations of the vessels within the shipyards. The company supplies 100% made in Italy products,",Stand: F-E09,https://www.cimolaitechnology.com/,No data,mailto:info@cimolaitechnology.com,https://it.linkedin.com/company/cimolai-technology-special-equipment,Italy
45,Clear-Com,"For over 50 years Clear-Com has provided innovative voice communication solutions to a broad range of professional markets. From our beginnings in the entertainment industry, we have diversified into other areas which require mission-critical communications, including Broadcast, Military, Government, Aerospace, Medical, Industrial, Marine Offshore, and more. We thrive when we are asked to provide solutions to new and unique communication challenges. We understand you are experts in your field, and you may not want to become experts in communications. Our technical expertise in comms can become",Stand: F-F12,https://www.clearcom.com/industrial,(+65) 97357812,mailto:support@clearcom.com,https://www.linkedin.com/company/clear-com/,United States
46,CLEEMANN Chair-Systems GmbH,"Cleemann specialises in purpose built, ergonomic chair solution for a wide range of vessels including navy ships, rescue boats, work boats, luxury yachts and commercial ships. Our chairs are manufactured in accordance with strict ISO quality standards as well as the rules of major international classification societies and defence regulations. Nowadays Cleemann makes use of the latest Solid Works 3D software in order to present a fast and professional solution when the standard does not fit.",Stand: E-M32,https://www.chair-systems.com/,(+49) 2938987690,mailto:c.brock@chair-systems.com,https://www.linkedin.com/company/cleemann-chair-systems-gmbh,Germany
47,Codar (Pte) Ltd,"Established in 1968 with HQ in Singapore, Codar (Pte) Ltd specialized in the supply, installation, repair and maintenance in marine radio communications and navigational equipment with oversea offices in Malaysia, Thailand & Vietnam Codar has a team of radio surveyor to carry out radio survey for Classifications Societies. ABS, BV, CR, DNV, IRS, KR, LR, MPA, NKK, TG, VRES. Our engineers are also authorized by JRC to carry out the JRC VDR/S-VDR Annual Performance Test (APT) & JRC ECDIS Type Specific Training (TST). Codar represents a number of established manufacturers such as JRC, Alphatron",Stand: F-G02,https://www.codar.com.sg/,(+65) 65509282,mailto:sales@codar.com.sg,No Data,Singapore
48,Coffin Turbo Pump Inc,No Data,Stand: E-K12,No Data,No data,No Data,No Data,United States
49,ComAp,"ComAp designs and manufactures control products for power generation and diesel/gas engines, along with associated accessories and software. We’re leading the way in providing intelligent electronic control products and solutions that are highly flexible, intuitive and scalable. ComAp’s solutions for onboard propulsion, power generation and auxiliary system control provide control, monitoring and protection to hundreds of vessels around the world.",Stand: F-E32,https://www.comap-control.com/,(+65) +6563163306,mailto:info@comap-control.com,https://www.linkedin.com/company/comap-group/,Singapore
50,COMPASS WATER SOLUTIONS,No Data,Stand: E-K12,No Data,No data,No Data,No Data,United States
51,CON-LASH SUPPLIES PTE LTD,"Con-Lash Supplies is a premier ship supplier headquartered in the maritime hub of Singapore. Specialising in 24/7, 365 service to vessels calling at the port of Singapore, we offer a diverse portfolio of solutions including general ship supply, marine logistics and ship agency. With over three decades of experience guiding us, we understand what our customers need. Together with a robust network of global partners, we are well-positioned to provide reliable, timely and cost-effective solutions to enable our customers’ fleet to sail with confidence.",Stand: D-R10,https://www.con-lash.com/,(+65) 65519522,mailto:conlash@singnet.com.sg,No Data,Singapore
52,Consilium Marine Singapore Pte Ltd,"Manufacturer, sales and service of Consilium Safety system including Fire & Gas Detection, Suppression System, Visual Flame Detectors, Fire Management System, etc.",Stand: E-H20,https://consiliumsafety.com/,(+65) +6565708998,mailto:edmund.shen@consiliumsafety.com,No Data,Singapore
53,CSCOM (BEIJING) TECHNOLOGY CO LTD,No Data,Stand: D-U06,No Data,No data,No Data,No Data,Singapore
54,Cummins Inc.,"Cummins’ marine legacy started with the creation of diesel engines with a broad range of applications from 6.7 to 95 liters for commercial, government and recreational applications. With much success. Cummins Inc. is a global technology company designing, manufacturing, distributing and servicing a broad portfolio of reliable, clean power solutions; including diesel, natural gas, hybrid, electric and other alternative solutions. Established in 1919 and headquartered in Columbus. Serving customers in more than 190 countries and territories around the world. Learn more at cummins.com",No data,https://www.cummins.com/en/sg/cummins-singapore,(+65) 97550087,mailto:cspl.sing@cummins.com,No Data,Australia
55,"Daejin Hydraulic Machinery Co., Ltd.","DAEJIN HYDRAULIC MACHINERY Co., Ltd produces 200 kinds of hydraulic tools, like RAM and PUMP, utilized in Building bridges, shipbuilding, aircraft and excavators with a wealth of experience and technique. The company also has accumulated advanced technical power and the ability for product development, producing and developing the first aluminum cylinders and pumps in Korea",Stand: F-F26,https://www.tecpos.com/,(+82) 51-325-9472,mailto:tecpos@tecpos.cpm,No Data,South Korea
56,"DAEJUNG COMPANY,LTD.","DAEJUNG. CO., LTD Supplying Mooring rope, Synthetic rope Synthetic ropes for Mooring, Towing, Winch, Anchor, Other Heavy Duty Applications Founded in 1977, Daejung Co., Ltd risen to a leading company in the sythetic rope industry, supplying various types of ropes and accumulated knowledge through its rich experience in pursuing its business. Daejung has its headquarters and main plant in Samrak-dong, Sasang-gu, Busan, as well as two manufacturing facilities in the suburban area of Gimhae, Gyeongsamnam-do. o Products 1.MONOLON ROPE 2.NYLON ROPE / POLYESTER ROPE / POLYPROPYLENE ROPE 3.ULTIMA-AR[",Stand: F-F25,https://www.daejung.net/,(+82) 513042511,mailto:skrud1575@daejung.net,No Data,South Korea
57,Damen Shipyards,"Family owned Damen Shipyards Group has been in operation for over ninety years and offers maritime solutions worldwide, through design, shipbuilding, ship repair and related services. Damen operates 35 shipyards and 20 other companies in 20 countries, supported by a worldwide sales and service network. We offer direct employment to more than 12,500 people, bringing together a total production value of 2 billion euros and delivering over 140 ships in 2020. In addition to fellowship, craftsmanship and entrepreneurship, stewardship is a starting point for Damen.",Stand: E-J20,https://www.damen.com/,(+31) 610448251,mailto:berdine.de.with@damen.com,https://www.linkedin.com/company/damen-shipyards/mycompany/,Netherlands
58,DAN-FENDER,No Data,Stand: E-J19,No Data,No data,No Data,No Data,DENMARK
59,DEIF Asia Pacific Pte Ltd,"Established in Denmark in 1933, DEIF Group is a global market leader in Green, Safe and Reliable control solutions. DEIF Asia pacific, located in Singapore, has a strong team supporting S.E.A and Pacific countries with its representative offices and partners. It is DEIF Green Vision to develop and manufacture reliable products to fully integrate multiple power sources in an efficient and seamless Microgrid Energy Management System.",Stand: F-D35,https://www.deif.sg/,(+65) 69335300,mailto:inquiry@deif.sg,https://www.linkedin.com/company/deifgroup/,Singapore
60,Delton Marine Pte Ltd,"Delton was established with the objective of supplying the Marine Industry with Fluid and Engineering Services. Unlike those traditional ""off-the-shelf"" trading companies and the ""sole distributor"" companies, we strive to offer the most applicable and reliable products from the world's leading manufacturers to suit our customers' needs. Over the years, we expanded our product range as well as our network of clients from different industries, proving ourselves to be a reliable solution provider.",Stand: D-V06,https://www.delton.com.sg/,(+65) 82987878,mailto:nickgoh@delton.com.sg,No Data,Singapore
61,DENO COMPRESSORS B.V.,No Data,Stand: E-L02,No Data,No data,No Data,No Data,Netherlands
62,DESMI,No Data,Stand: D-V06,No Data,No data,No Data,No Data,Denmark
63,Doen Waterjet,"We are a leading designer and manufacturer of waterjet propulsion systems focused on offering best-of-class waterjet products that excel in the harsh operating conditions of the commercial and military marine markets. With our extensive range of waterjets matching engine powers up to 6500kW, you can be sure that Doen WaterJets has a product offering to suit your vessel no matter big or small. Our promise is superior Performance, excellent Reliability and sheer Simplicity of installation, operation and maintenance across our entire product range.",Stand: E-Q39,https://www.doen.com/,(+61) 3 9587 3944,mailto:inquiries@doen.com,https://www.linkedin.com/company/doen-pacific,Australia
64,Dualog Singapore Pte Ltd,"""Since 1994, Dualog has developed and delivered innovative software solutions with the purpose of bringing ship and shore closer. Our purpose-built services for cybersecurity, email, data transfer, and internet management help the global shipping industry to enable the integrated ship. Our promise is to carefully look after your onboard solutions and ensure safe data transfer between ship and shore. We are on duty 24/7, and if something goes wrong, we will fix it. We deliver Innovations at sea with passion to more than 5000 ships, and we are always curious and listening to our customers. It",Stand: E-H25,http://www.dualog.com/,(+65) 62229233,mailto:hello@dualog.com,https://www.linkedin.com/company/dualog-as/,Singapore
65,E.W. Liner Charts & Publications Pte Ltd,"EW Liner Charts & Publications is an International ADMIRALTY Chart Agent established in 1995 under the leadership of Captain Prem Kumar, an ex-NOL Master Mariner with 25 years of sea-going experience. Over the years, we have diversified our products and services with the aim of becoming a one-stop supplier for your navigation-related requirements.",Stand: E-M52,https://www.ewliner.com/,(+65) 63230773,mailto:suranjan@ewliner.com,No Data,Singapore
66,Elite Marine Corporation,"""Elite Marine Corporation is an innovative high-tech enterprise specialized in integrated solution for ballast water treatment system including research, design, construction, installation and after-sale service. We provide perfect service for the global customers with our mature technology and high quality products. Customer oriented, struggle based, hard-working persistent and insisted on self-criticism is the core value of our company. Elite marine R&D team consists of domestic & foreign chief engineers and researchers. We have sales & service partner all over the world.",Stand: F-G38,https://ntelitemarine.com/,(+86) 513 5508 3922,mailto:bwts@ntelitemarine.com,No Data,China
67,Engtek Pte Ltd,"Engtek has been in marine & offshore industry for 48 years in Asia and Asia Pacific with operation and branches in China, Malaysia, Vietnam and South Africa, as well partners in Indonesia, Myanmar, India and UAE. Engtek Pte Ltd strive to contribute towards a greener marine environment, developing the ultimate goal of building decarbonisation and Green products. Engtek in-house product – E-Pod, electric thrusters not only improve the overall efficiency of the ship but also reduce the carbon footprints.",Stand: E-Q11,https://www.engtek.com.sg/,(+65) 62656288,mailto:mailbox@engtek.com.sg,No Data,Singapore
68,European Diesel Services,"EDS supplies spare parts and support services suitable for operators of RUSTON, BERGEN, PAXMAN VP185, W.H ALLEN, PERKINS and DORMAN diesel and gas engines. Lloyds Register ISO9001:2015 certified, established in 1994 and with a customer base in over 100 countries we provide costs effective supply solutions to engine operators in the Marine, Offshore, Naval/Defence, Power Generation and Rail industries worldwide.",Stand: E-K03,No Data,No data,No Data,No Data,No Data
